#,Original,Import Test,Reading,Tone,Definition,Radical,Stroke count,HSK Char level,TGL,TGL #,Frequency rank,Note,System ID,Length,Radical Order,General Standard #
635,朋,朋,péng,2,"friend, pal, acquaintance",月 74.4,8,1,G2,359,882,-,153,4,1249,1185
636,清,清,qīng,1,"clear, pure, clean; peaceful",水 85.8,11,3,G2,284,335,-,423,4,1489,2410
637,急,急,jí,2,"quick, quickly; urgent, pressing",心 61.5,9,3,G3,537,657,-,495,2,901,1609
638,迎,迎,yíng,2,"receive, welcome, greet",辵 162.4,7,3,G5,1124,1069,-,552,4,2375,822
639,费,费,fèi,4,"expenses, expenditures, fee",貝 154.5,9,4,G3,481,486,-,730,3,2283,1726
640,苦,苦,kǔ,3,"bitter; hardship, suffering",艸 140.5,8,4,G2,339,634,-,781,2,2073,999
641,房,房,fáng,2,"house, building; room",戶 63.4,8,2,G2,322,512,-,271,4,983,1290
642,杯,杯,bēi,1,"cup, glass",木 75.4,8,1,G4,933,1396,-,167,3,1277,1020
643,跟,跟,gēn,1,"heel; to follow, accompany; with",足 157.6,13,3,G1,189,541,-,468,3,2317,2920
644,聚,聚,jù,4,"assemble, meet together, collect",耳 128.8,14,4,G5,1196,1306,-,934,2,1978,3065
645,必,必,bì,4,"surely, most certainly; must",心 61.1,5,3,G3,391,248,-,404,2,880,321
646,秋,秋,qiū,1,"autumn, fall; year",禾 115.4,9,3,G4,891,1151,-,559,3,1790,1550
647,假,假,jiǎ,3,"falsehood, deception; vacation",人 9.9,11,3,G3,530,636,-,491,3,181,2337
648,员,员,yuán,2,"member; personnel, staff member",口 30.4,7,2,G3,384,200,-,223,4,435,737
649,迟,迟,chí,2,"late, tardy; slow; delay",辵 162.4,7,3,G5,1222,1374,-,570,3,2385,906
650,听,听,tīng,1,"hear; understand; obey, comply",口 30.4,7,1,G1,167,285,-,96,4,423,739
651,短,短,duǎn,3,"short; brief; deficient, lacking",矢 111.7,12,3,G4,821,889,-,526,4,1748,2669
652,邮,邮,yóu,2,"postal, mail; post office",邑 163.5,7,3,G5,1289,1652,-,584,3,2426,732
653,初,初,chū,1,"beginning, initial, primary",刀 18.5,7,5,G4,747,667,-,1149,3,271,889
654,权,权,quán,2,"power, right, authority",木 75.2,6,5,G5,982,297,-,1080,4,1266,378
655,作,作,zuò,4,"make; work; compose, write; act, perform",人 9.5,7,1,G1,47,49,-,33,3,137,777
656,享,享,xiǎng,3,enjoy,亠 8.6,8,5,G5,1168,1227,-,1337,5,75,1206
657,理,理,lǐ,3,"reason, logic; manage",玉 96.7,11,3,G1,85,89,-,364,2,1636,2157
658,服,服,fú,2,"clothes; wear, dress",月 74.4,8,1,G2,292,365,-,107,2,1250,1190
659,解,解,jiě,3,"loosen, unfasten, untie; explain",角 148.6,13,3,G2,230,201,-,391,3,2182,2981
660,海,海,hǎi,3,"sea, ocean; maritime",水 85.7,10,4,G2,225,189,-,636,3,1466,2074
661,易,易,yì,4,change; easy,日 72.4,8,3,G3,470,461,-,451,2,1209,1088
662,己,己,jǐ,3,"self, oneself; personal, private; 6th heavenly stem",己 49.0,3,3,G1,133,162,-,382,2,782,60
663,典,典,diǎn,3,"law, canon; documentation; classic, scripture",八 12.6,8,3,G5,1120,1044,-,547,4,225,1092
664,喜,喜,xǐ,3,"like, love, enjoy; joyful thing",口 30.9,12,1,G1,192,668,-,140,2,499,2523
665,蕉,蕉,jiāo,1,banana; plantain,艸 140.12,15,3,G6,1864,3104,-,616,4,2113,3209
666,汇,汇,huì,4,"concourse; flow together, gather",水 85.2,5,5,G8,2294,1187,-,1327,3,1399,309
667,头,头,tóu,2,"head; top; chief, first; boss",大 37.2,5,3,G1,122,147,-,377,3,605,310
668,亚,亚,yà,4,Asia; second,一 1.5,6,4,G5,988,420,-,709,2,69,373
669,景,景,jǐng,3,"scenery, view; conditions",日 72.8,12,4,G3,573,814,-,830,4,1228,2626
670,错,错,cuò,4,"error, blunder, mistake; wrong",金 167.8,13,2,G3,532,638,-,282,3,2484,2936
671,跑,跑,pǎo,3,"run, flee, leave in hurry",足 157.5,12,2,G2,358,864,-,300,3,2315,2631
672,正,正,zhèng,4,"right, proper, correct",止 77.1,5,2,G1,111,129,-,205,5,1364,198
673,喝,喝,hē,1,"drink; shout, call out",口 30.9,12,1,G3,606,983,-,159,2,500,2639
674,遇,遇,yù,4,"meet, come across, encounter",辵 162.9,12,3,G4,823,899,-,527,2,2413,2622
675,零,零,líng,2,"zero; fragment, fraction",雨 173.5,13,2,G4,925,1342,-,335,4,2552,2885
677,冰,冰,bīng,1,ice; ice-cold,冫 15.4,6,3,G4,870,1070,-,553,4,239,513
678,的,的,de,0,"possessive, adjectival suffix",白 106.3,8,1,G1,1,1,-,1,2,1697,1155
679,误,误,wù,4,"err, make mistake; interfere",言 149.7,9,4,G5,1060,854,-,845,2,2228,1714
680,泳,泳,yǒng,3,dive; swim,水 85.5,8,2,G4,978,2607,-,346,4,1439,1257
681,蔬,蔬,shū,1,"vegetables, greens",艸 140.11,15,5,G7,2246,2721,-,1664,3,2110,3211
682,绿,绿,lǜ,4,green; chlorine,糸 120.8,11,3,G3,619,1088,-,555,2,1927,2498
683,款,款,kuǎn,3,"item, article; clause; fund",欠 76.8,12,4,G6,1410,807,-,826,4,1359,2508
684,绩,绩,jī,1,spin; achievements,糸 120.8,11,3,G4,953,1547,-,580,2,1920,2486
685,这,这,zhè,4,"this, the, here",辵 162.4,7,1,G1,11,11,-,11,3,2380,837
686,南,南,nán,2,south; southern part; southward,十 24.7,9,3,G3,409,307,-,417,3,340,1422
687,冷,冷,lěng,3,"cold, cool; lonely",冫 15.5,7,1,G4,759,700,-,143,4,243,838
688,华,华,huá,2,flowery; illustrious; Chinese,十 24.4,6,5,G3,453,412,-,1096,3,334,472
689,辛,辛,xīn,1,"bitter; toilsome, laborious; 8th heavenly stem",辛 160.0,7,4,G4,943,1463,-,958,3,2357,841
690,克,克,kè,4,gram; overcome; transliteration,儿 10.5,7,4,G4,643,262,-,657,2,207,675
691,说,说,shuō,1,"speak, say, talk; scold, upbraid",言 149.7,9,1,G1,24,24,-,20,4,2230,1717
692,重,重,zhòng,4,"heavy, weighty; double",里 166.2,9,3,G1,119,140,-,373,5,2451,1552
693,张,张,zhāng,1,"stretch, extend, expand; sheet",弓 57.4,7,3,G2,280,318,-,420,5,847,909
694,学,学,xué,2,"learning, knowledge; school",子 39.5,8,1,G1,64,66,-,39,3,672,1273
695,左,左,zuǒ,3,"left; east; unorthodox, improper",工 48.2,5,2,G4,782,782,-,291,3,777,214
696,瓶,瓶,píng,2,"jug, pitcher, vase, jar, bottle",瓦 98.6,10,3,G4,966,1703,-,588,4,1643,2051
697,右,右,yòu,4,right; west; right-wing,口 30.2,5,2,G4,783,783,-,292,3,395,217
698,龙,龙,lóng,2,dragon; symbolic of emperor,龍 212.0,5,5,G4,757,696,-,1163,4,2663,221
699,平,平,píng,2,"flat, level, even; peaceful",干 51.2,5,3,G2,235,215,-,393,4,808,222
700,东,东,dōng,1,"east, eastern, eastward",一 1.4,5,1,G1,148,194,-,78,4,20,225
701,偷,偷,tōu,1,"to steal, burglar, thief",人 9.9,11,5,G4,916,1284,-,1349,3,187,2330
702,妈,妈,mā,1,"mother, mama",女 38.3,6,1,G1,193,750,-,146,2,629,583
703,做,做,zuò,4,"work, make; act",人 9.9,11,1,G1,164,246,-,92,3,183,2324
704,相,相,xiāng,1,"mutual, reciprocal, each other",目 109.4,9,3,G1,126,152,-,379,5,1717,1430
705,停,停,tíng,2,"stop, suspend, delay; suitable",人 9.9,11,4,G3,548,693,-,798,4,184,2333
706,意,意,yì,4,"thought, idea, opinion; think",心 61.9,13,2,G1,96,104,-,197,2,953,2996
708,排,排,pái,2,"row, rank, line",手 64.8,11,4,G3,545,682,-,792,3,1100,2168
709,周,周,zhōu,1,Zhou dynasty; circumference,口 30.5,8,3,G3,482,490,-,458,4,437,1192
710,实,实,shí,2,"real, true; honest, sincere",宀 40.5,8,3,G2,200,100,-,367,3,688,1285
711,眉,眉,méi,2,eyebrows; upper margin of book,目 109.4,9,5,G6,1554,1460,-,1412,3,1721,1729
712,孩,孩,hái,2,"baby, child; children",子 39.6,9,2,G2,325,533,-,274,3,673,1730
713,突,突,tū,1,"suddenly, abruptly, unexpectedly",穴 116.4,9,3,G4,686,484,-,457,2,1816,1700
714,密,密,mì,4,"dense, thick, close; intimate",宀 40.8,11,4,G4,725,591,-,766,2,707,2458
715,味,味,wèi,4,"taste, smell, odor; delicacy",口 30.5,8,4,G3,581,844,-,841,3,438,1078
716,辣,辣,là,4,"peppery, pungent, hot; cruel",辛 160.7,14,4,G8,2395,2420,-,1041,2,2361,3148
717,行,行,xíng,2,"go; walk; move, travel; circulate",行 144.0,6,3,G1,51,53,-,354,4,2143,483
718,礼,礼,lǐ,3,social custom; manners; courtesy,示 113.1,5,3,G3,595,926,-,532,2,1775,318
719,音,音,yīn,1,"sound, tone, pitch, pronunciation",音 180.0,9,3,G2,327,540,-,467,3,2574,1632
720,教,教,jiào,4,"teach, class",攴 66.7,11,2,G2,227,191,-,221,4,1164,2179
721,飞,飞,fēi,1,fly; go quickly; dart; high,乙 5.2,3,1,G2,289,347,-,105,3,2599,69
722,灯,灯,dēng,1,"lantern, lamp",火 86.2,6,3,G3,621,1115,-,557,4,1540,534
723,鸭,鸭,yā,1,duck; Anas species (various),鳥 196.5,10,4,G5,1357,2133,-,1021,2,2649,1892
724,换,换,huàn,4,change,手 64.7,10,3,G3,575,824,-,519,4,1089,1806
725,粉,粉,fěn,3,"powder, face powder; plaster",米 119.4,10,6,G5,1257,1498,-,1877,3,1862,2053
726,留,留,liú,2,"stop, halt; stay, detain, keep",田 102.5,10,3,G3,504,554,-,469,3,1663,2009
727,裙,裙,qún,2,"skirt, apron, petticoat",衣 145.7,12,3,G7,2180,2431,-,611,3,2167,2792
728,两,两,liǎng,3,"two, both, pair, couple; ounce",一 1.6,7,2,G1,113,133,-,207,5,23,697
729,谢,谢,xiè,4,thank; decline,言 149.10,12,1,G3,588,897,-,154,3,2249,2795
730,邻,邻,lín,2,neighbor; neighborhood,邑 163.5,7,3,G4,962,1659,-,585,3,2427,801
731,街,街,jiē,1,"street, road, thoroughfare",行 144.6,12,3,G3,620,1101,-,556,3,2146,2702
732,菜,菜,cài,4,"vegetables; dish, order; food",艸 140.8,11,1,G3,630,1266,-,164,3,2091,2207
733,量,量,liàng,4,"measure, quantity, capacity",里 166.5,12,4,G2,251,241,-,649,5,2453,2616
734,饭,饭,fàn,4,"cooked rice; food, meal",食 184.4,7,1,G2,363,935,-,157,3,2604,823
735,主,主,zhǔ,3,"master, chief owner; host; lord",丶 3.4,5,3,G2,198,87,-,363,3,33,300
736,奖,奖,jiǎng,3,"prize, reward; give award to",大 37.6,9,4,G5,1170,1233,-,923,5,615,1618
737,围,围,wéi,2,"surround, encircle, corral",囗 31.4,7,4,G4,718,576,-,761,3,528,728
738,给,给,gěi,3,"give; by, for",糸 120.6,9,2,G1,143,180,-,217,3,1914,1758
739,聊,聊,liáo,2,"somewhat, slightly, at least",耳 128.5,11,3,G6,1716,1932,-,599,4,1973,2196
740,黄,黄,huáng,2,yellow; surname,黃 201.0,11,3,G3,509,561,-,474,5,2653,2201
741,原,原,yuán,2,"source, origin, beginning",厂 27.8,10,4,G2,228,193,-,638,4,361,1868
742,盘,盘,pán,2,"tray, plate, dish; examine",皿 108.6,11,3,G4,862,1049,-,548,3,1710,2343
743,登,登,dēng,1,"rise, mount, board, climb",癶 105.7,12,4,G4,792,817,-,831,4,1693,2813
744,豪,豪,háo,2,"brave, heroic, chivalrous",豕 152.7,14,5,G6,1570,1513,-,1426,3,2260,3141
745,厨,厨,chú,2,kitchen; closet; cupboard,厂 27.10,12,4,G5,1356,2132,-,1020,3,364,2587
746,鼓,鼓,gǔ,3,"drum; beat, top, strike",鼓 207.0,13,4,G4,884,1123,-,899,2,2657,2837
747,树,树,shù,4,"tree; plant; set up, establish",木 75.5,9,3,G2,349,697,-,498,3,1305,1439
748,要,要,yào,4,"necessary, essential; necessity",襾 146.3,9,2,G1,26,26,-,178,3,2172,1441
749,顾,顾,gù,4,look back; look at; look after,頁 181.4,10,3,G4,791,815,-,518,2,2581,1874
750,酒,酒,jiǔ,3,"wine, spirits, liquor, alcoholic beverage",酉 164.3,10,3,G3,571,797,-,517,3,2437,2069
751,镜,镜,jìng,4,mirror; lens; glass; glasses,金 167.11,16,4,G5,1177,1251,-,925,4,2491,3354
752,较,较,jiào,4,"compare; comparatively, more",車 159.6,10,3,G3,483,491,-,459,4,2346,1876
753,质,质,zhì,4,"matter, material, substance",厂 27.4,8,4,G4,663,404,-,705,3,2272,1157
754,姓,姓,xìng,4,,女 38.5,8,2,G4,890,1149,-,322,4,640,1327
755,试,试,shì,4,"test, try, experiment",言 149.6,8,2,G3,533,643,-,284,3,2216,1286
756,猪,猪,zhū,1,"pig, hog, wild boar",犬 94.9,11,5,G5,1313,1762,-,1502,3,1620,2365
757,猫,猫,māo,1,cat,犬 94.9,11,1,G4,964,1673,-,172,3,1621,2367
758,烦,烦,fán,2,"bother, vex, trouble; troublesome",火 86.6,10,4,G4,912,1253,-,926,3,1563,2059
759,担,担,dān,1,"carry, bear, undertake",手 64.5,8,3,G4,765,720,-,503,3,1032,963
760,饮,饮,yǐn,3,drink; swallow; kind of drink,食 184.4,7,3,G5,1271,1569,-,581,3,2605,824
761,搬,搬,bān,1,"transfer, move, remove, shift",手 64.10,13,3,G4,969,1766,-,593,3,1127,2840
762,问,问,wèn,4,"ask about, inquire after",門 169.3,6,2,G1,116,137,-,209,3,2497,528
763,请,请,qǐng,3,"ask, request; invite; please",言 149.8,10,1,G2,302,421,-,115,4,2232,2108
764,矮,矮,ǎi,3,"short, dwarf; low",矢 111.8,13,3,G6,1748,2027,-,604,2,1749,2946
765,合,合,hé,2,"combine, unite, join; gather",口 30.3,6,4,G1,139,171,-,632,2,404,488
766,机,机,jī,1,desk; machine; moment,木 75.2,6,1,G2,203,111,-,58,2,1262,377
767,河,河,hé,2,river; stream; yellow river,水 85.5,8,3,G2,331,574,-,478,2,1419,1244
768,双,双,shuāng,1,"set of two, pair, couple; both",又 29.2,4,3,G3,512,581,-,480,6,372,187
769,书,书,shū,1,"book, letter, document; writings",丨 2.3,4,1,G1,166,282,-,95,3,54,188
770,肚,肚,dù,4,belly; abdomen; bowels,肉 130.3,7,4,G4,971,1800,-,997,2,1985,805
771,能,能,néng,2,"to be able; can, permitted to; ability",肉 130.6,10,1,G1,34,35,-,27,4,2011,2146
772,预,预,yù,4,"prepare, arrange; in advance",頁 181.4,10,4,G4,739,647,-,783,2,2585,2148
773,字,字,zì,4,"letter, character, word",子 39.3,6,1,G1,183,393,-,112,2,666,548
774,经,经,jīng,1,classic works; pass through,糸 120.5,8,2,G1,60,62,-,189,4,1908,1350
775,麻,麻,má,2,"hemp, jute, flax; sesame",麻 200.0,11,4,G4,880,1108,-,894,2,2652,2379
776,柜,柜,guì,4,"cabinet, cupboard; shop counter",木 75.5,8,5,G6,1740,1994,-,1554,3,1296,1022
777,康,康,kāng,1,"peaceful, quiet; happy, healthy",广 53.8,11,3,G4,824,900,-,528,4,832,2385
779,等,等,děng,3,,竹 118.6,12,2,G1,131,158,-,213,4,1839,2681
780,姨,姨,yí,2,,女 38.6,9,3,G5,1365,2287,-,608,2,643,1737
781,对,对,duì,4,"correct, right; facing, opposed",寸 41.2,5,1,G1,32,33,-,25,3,715,341
782,爬,爬,pá,2,"crawl, creep; climb; scramble",爪 87.4,8,3,G4,936,1426,-,576,2,1585,1161
783,鱼,鱼,yú,2,fish; surname; KangXi radical 195,魚 195.0,8,2,G2,357,852,-,299,2,2642,1194
784,汉,汉,hàn,4,Chinese people; Chinese language,水 85.2,5,1,G4,762,711,-,144,3,1400,311
785,转,转,zhuǎn,3,"shift, move, turn",車 159.4,8,4,G3,437,376,-,698,5,2340,1059
786,到,到,dào,4,"go to, arrive, been to",刀 18.6,8,2,G1,22,22,-,176,3,277,1063
787,饿,饿,è,4,hungry; greedy for; hunger,食 184.7,10,3,G5,1333,1911,-,598,1,2612,2012
788,翻,翻,fān,1,"flip over, upset, capsize",羽 124.12,18,4,G4,856,1027,-,878,3,1958,3445
789,舟,舟,zhōu,1,"boat, ship; KangXi radical 137",舟 137.0,6,6,G6,1795,2224,-,2210,4,2050,484
790,丝,丝,sī,1,silk; fine thread; wire; strings,一 1.4,5,5,G4,855,1026,-,1265,2,21,347
791,约,约,yuē,1,"treaty, agreement, covenant",糸 120.3,6,4,G3,459,424,-,712,3,1886,593
792,号,号,hào,4,"mark, sign; symbol; number",口 30.2,5,1,G2,317,487,-,124,3,397,243
793,认,认,rèn,4,"recognize, know, understand",言 149.2,4,1,G3,388,213,-,82,3,2191,171
794,折,折,zhé,2,"break off, snap; bend",手 64.4,7,4,G5,1138,1131,-,902,3,1018,632
795,嗽,嗽,sòu,4,"cough, gargle, clear throat",口 30.11,14,4,G8,2478,2815,-,1056,3,509,3103
796,板,板,bǎn,3,"plank, board; iron or tin plate",木 75.4,8,3,G3,597,930,-,533,3,1280,1025
797,难,难,nán,2,"difficult, arduous, hard; unable",又 29.8,10,3,G2,272,295,-,415,3,2542,2147
798,静,静,jìng,4,"quiet, still, motionless; gentle",青 174.6,14,3,G3,552,722,-,504,4,2565,3049
799,歌,歌,gē,1,"song, lyrics; sing, chant; praise",欠 76.10,14,2,G3,613,1040,-,316,2,1362,3084
800,们,们,men,0,adjunct pronoun indicate plural,人 9.3,5,1,G1,13,13,-,13,3,100,273
801,炒,炒,chǎo,3,"fry, saute, roast, boil, cook",火 86.4,8,5,G6,1840,2590,-,1649,4,1549,1234
802,消,消,xiāo,1,"vanish, die out; melt away",水 85.7,10,4,G3,464,439,-,719,4,1469,2071
803,签,签,qiān,1,"sign, endorse; slip of paper",竹 118.7,13,4,G6,1492,1254,-,927,4,1849,2953
804,还,还,hái,2,"still, yet, also, besides",辵 162.4,7,2,G1,78,80,-,191,3,2379,704
805,羊,羊,yáng,2,"sheep, goat; KangXi radical 123",羊 123.0,6,2,G4,924,1337,-,334,4,1949,530
806,句,句,jù,4,sentence,口 30.2,5,3,G3,549,707,-,500,2,384,288
807,客,客,kè,4,"guest, traveller; customer",宀 40.6,9,1,G3,513,583,-,131,2,691,1703
808,只,只,zhǐ,3,"only, just, simply",口 30.2,5,3,G1,92,97,-,366,3,387,246
809,拿,拿,ná,2,"take, hold, grasp; bring; with",手 64.6,10,3,G2,341,645,-,493,2,1059,1983
810,春,春,chūn,1,spring; wanton,日 72.5,9,3,G3,593,921,-,530,4,1213,1355
811,迷,迷,mí,2,"bewitch, charm, infatuate",辵 162.6,9,4,G4,892,1153,-,906,2,2388,1647
812,评,评,píng,2,"appraise, criticize, evaluate",言 149.5,7,4,G6,1411,809,-,827,4,2209,887
813,鞋,鞋,xié,2,"shoes, footwear in general",革 177.6,15,3,G4,960,1638,-,583,3,2570,3207
814,题,题,tí,2,"forehead; title, headline; theme",頁 181.9,15,2,G2,236,218,-,227,2,2592,3233
815,衣,衣,yī,1,"clothes, clothing; cover, skin",衣 145.0,6,1,G2,350,725,-,145,2,2148,520
816,钱,钱,qián,2,"money, currency, coins",金 167.5,10,1,G1,190,603,-,133,4,2467,1928
817,啡,啡,fēi,1,morphine; coffee,口 30.8,11,2,G8,2373,2326,-,342,3,486,2272
818,录,录,lù,4,"copy, write down, record",彐 58.5,8,5,G5,1078,919,-,1234,2,856,1304
819,堵,堵,dǔ,3,"wall; stop, prevent; stop up",土 32.9,11,4,G7,2139,2284,-,1031,2,569,2161
820,戚,戚,qī,1,relative; be related to; sad,戈 62.7,11,4,G6,1812,2316,-,1034,2,979,2239
821,免,免,miǎn,3,spare; excuse from; evade,儿 10.5,7,4,G4,774,755,-,812,4,208,810
822,安,安,ān,1,"peaceful, tranquil, quiet",宀 40.3,6,3,G2,244,232,-,398,2,679,549
823,百,百,bǎi,3,"one hundred; numerous, many",白 106.1,6,2,G2,301,407,-,259,3,1695,389
824,动,动,dòng,4,"move, happen; movement, action",力 19.4,6,2,G1,71,73,-,190,4,304,353
825,起,起,qǐ,3,"rise, stand up; go up; begin",走 156.3,10,1,G1,73,75,-,45,2,2304,1789
826,它,它,tā,1,it; other,宀 40.2,5,2,G2,202,107,-,198,2,675,314
827,戏,戏,xì,4,"theatrical play, show",戈 62.2,6,3,G3,612,1033,-,546,2,973,584
828,议,议,yì,4,"consult, talk over, discuss",言 149.3,5,3,G4,659,368,-,430,2,2196,320
829,须,须,xū,1,"must, have to, necessary",彡 59.6,9,3,G4,673,444,-,444,2,2579,1585
830,姐,姐,jiě,3,"elder sister, young lady",女 38.5,8,1,G4,800,830,-,151,3,638,1326
831,呢,呢,ne,0,interrogative or emphatic final; (Cant.) this,口 30.5,8,1,G2,296,383,-,109,2,436,1102
832,往,往,wǎng,3,"go, depart; past, formerly",彳 60.5,8,2,G2,293,369,-,252,4,864,1160
833,弃,弃,qì,4,"reject, abandon, discard",廾 55.4,7,4,G5,1133,1105,-,893,2,841,842
834,盐,盐,yán,2,salt,皿 108.5,10,4,G6,1698,1885,-,1003,3,1705,1790
835,参,参,cān,1,"take part in, intervene; ginseng",厶 28.6,8,3,G3,491,507,-,463,3,367,1334
836,共,共,gòng,4,"together with, all, total; to share",八 12.4,6,2,G3,417,330,-,245,4,219,371
837,钟,钟,zhōng,1,clock; bell,金 167.4,9,1,G3,589,905,-,155,5,2462,1528
838,光,光,guāng,1,"light, brilliant, shine; only",儿 10.4,6,4,G2,270,290,-,669,5,206,417
839,常,常,cháng,2,"common, normal, frequent, regular",巾 50.8,11,2,G1,146,187,-,220,5,802,2257
840,扫,扫,sǎo,3,"sweep, clear away; exterminate",手 64.3,6,3,G4,938,1435,-,577,3,999,365
841,整,整,zhěng,3,"orderly, neat, tidy; whole",攴 66.11,16,4,G3,457,416,-,707,5,1171,3333
842,看,看,kàn,4,"look, see; examine, scrutinize",目 109.4,9,1,G1,74,76,-,46,3,1722,1539
843,商,商,shāng,1,"commerce, business, trade",口 30.8,11,1,G3,450,402,-,114,5,484,2391
844,丁,丁,dīng,1,"male adult; robust, vigorous; 4th heavenly stem",一 1.1,2,6,G5,1150,1168,-,1771,4,2,5
845,爱,爱,ài,4,"love, be fond of, like",爪 87.6,10,1,G1,184,394,-,113,2,1586,1987
846,住,住,zhù,4,"reside, live at, dwell, lodge; stop",人 9.5,7,1,G2,276,309,-,97,3,132,783
847,运,运,yùn,4,"run; simplified form of 運 luck, fortune; ship, transport",辵 162.4,7,2,G2,287,345,-,247,3,2376,611
848,有,有,yǒu,3,"have, own, possess; exist",月 74.2,6,1,G1,8,8,-,8,3,1248,390
849,哭,哭,kū,1,"weep, cry, wail",口 30.7,10,3,G3,625,1210,-,563,2,469,1907
850,些,些,xiē,1,"little, few; rather, somewhat",二 7.5,8,1,G1,83,86,-,51,3,70,1069
851,忘,忘,wàng,4,"forget; neglect; miss, omit",心 61.3,7,3,G3,614,1056,-,549,4,885,844